Type,Literal meaning,Figurative sentence
Simile,You have no idea why people suddenly have become sick,You have no idea why people suddenly have become like pale frail zombies.
Simile,They just killed an investigation journalist that was looking too close,They just killed an investigation journalist that was looking like an eventual threat.
Simile,It starts to worry you that everyone is so concerned,It starts to worry you that everyone is like a helicopter mom.
Simile,After a few weeks he starting to feel a little lonely,After a few weeks he starting to feel like an outcast.
Simile,"Reincarnation has been proven, memories are now retrievable","Reincarnation has been proven, memories are now like items in the school lost and found."
Simile,Keaton was lying face down on the ground lamely,Keaton was lying face down on the ground like a maimed animal.
Simile,The sound of his own blood sounds ear - splitting,The sound of his own blood sounds like nails on a chalkboard.
Simile,"Their nuclear program however, has fallen flat","Their nuclear program however, has fallen like a chopped tree in a field."
Simile,Describe your 'real' self in third person without sounding arrogant,Describe your 'real' self in third person without sounding like a prima donna.
Simile,"At that point, it could spread infectiously","At that point, it could spread like wild fire."
Simile,"He had a wide smile, but his eyes were cold, yet intense","He had a wide smile, but his eyes were cold, yet intense like polar ice."
Simile,The things that wait in between the two are unpleasant,The things that wait in between the two are like the mud and leaves clogging the gutter.
